data,hora,temperatura,humitat,sensacio
06/09/2026,22:41:19,26.90,56.36,29.77
06/09/2026,22:42:30,26.80,54.48,29.41
06/09/2026,22:45:45,26.38,55.08,28.90
06/09/2026,22:46:56,26.66,58.62,29.72
06/09/2026,22:48:07,26.90,59.46,30.16
06/09/2026,22:49:18,26.84,56.92,29.77
06/09/2026,22:50:29,26.60,53.36,29.00
06/09/2026,22:51:42,26.38,52.70,28.61
06/09/2026,22:52:53,26.61,53.12,28.99
06/09/2026,22:56:48,27.53,53.46,30.30
06/09/2026,22:57:59,27.70,53.46,30.54
06/09/2026,22:59:10,27.82,53.00,30.66
06/09/2026,23:00:21,27.95,53.56,30.91
06/09/2026,23:01:32,28.00,54.00,31.05
06/09/2026,23:02:45,28.10,54.00,31.18
06/09/2026,23:06:02,28.24,54.00,31.38
06/09/2026,23:07:13,28.30,54.96,31.59
06/09/2026,23:08:24,28.29,55.00,31.59
06/09/2026,23:09:35,28.36,55.00,31.69
06/09/2026,23:10:46,28.38,55.00,31.72
06/09/2026,23:11:59,28.40,55.08,31.75
06/09/2026,23:13:10,28.40,56.00,31.88
06/09/2026,23:14:21,28.43,56.00,31.91
06/09/2026,23:15:32,28.49,56.00,32.00
06/09/2026,23:16:42,28.50,56.00,32.03
06/09/2026,23:19:25,28.57,56.96,32.25
06/09/2026,23:20:38,28.60,57.00,32.30
06/09/2026,23:21:49,28.65,57.00,32.37
06/09/2026,23:23:00,28.69,57.16,32.45
06/09/2026,23:24:11,28.71,57.18,32.49
06/09/2026,23:25:22,28.81,57.08,32.62
06/09/2026,23:26:35,28.89,58.00,32.87
06/09/2026,23:27:46,28.90,57.96,32.88
06/09/2026,23:28:57,28.90,58.00,32.88
06/09/2026,23:30:08,28.90,58.00,32.88
06/09/2026,23:31:19,28.95,58.00,32.95
06/09/2026,23:32:32,28.98,58.00,33.00
06/09/2026,23:33:43,29.00,58.00,33.02
06/09/2026,23:34:54,29.07,58.00,33.12
06/09/2026,23:36:05,29.09,58.00,33.15
06/09/2026,23:37:16,29.12,58.00,33.20
